Number of Other Criminal Code Offences,,,,,,,,,,,,
Central Kootenay,RCMP Provincial,Nelson Prov (5),81,52,67,48,36,44,50,69,35,38
Kitimat Stikine,RCMP Provincial,New Hazelton Prov,405,407,461,510,461,423,425,468,432,342
Metro Vancouver,Independent Municipal,New Westminster Mun,"1,750","1,637","1,597","1,375","1,211","1,286","1,263","1,275","1,252","1,039"
Strathcona,RCMP Provincial,Nootka Sound Prov,72,61,27,29,35,30,60,48,50,75
Cowichan Valley,RCMP Municipal,North Cowichan Mun,474,375,346,431,505,708,677,607,419,597
Capital,RCMP Municipal,North Saanich Mun,59,63,63,85,89,68,72,75,74,78
Metro Vancouver,RCMP Municipal,"North Vancouver City Mun (12,13)",919,895,997,"1,240","1,187","1,320","1,105","1,058","1,095","1,173"
Metro Vancouver,RCMP Municipal,North Vancouver District Mun (12),757,741,834,"1,051","1,016",938,779,693,672,716
Metro Vancouver,RCMP Provincial,"North Vancouver Prov (1,12,13)",83,78,110,116,142,150,110,103,111,96
Northern Rockies,RCMP Municipal,Northern Rockies Mun (14),-,-,-,-,-,-,-,175,203,153
Northern Rockies,RCMP Provincial,Northern Rockies Prov (14),524,366,239,341,464,493,464,177,95,70
Capital,Independent Municipal,Oak Bay Mun,40,34,44,37,33,41,41,33,31,39
Nanaimo,RCMP Provincial,Oceanside Prov ,254,142,96,128,115,116,98,130,93,138
Cariboo,RCMP Provincial,One Hundred Mile House Prov,269,252,284,192,151,155,179,114,137,139
Capital,RCMP Provincial,Outer Gulf  Islands Prov,38,43,39,20,24,17,10,21,19,13
Nanaimo,RCMP Municipal,Parksville Mun,292,221,229,235,169,154,182,187,172,201
Central Okanagan,RCMP Municipal,Peachland Mun (10),-,-,-,-,-,-,22,14,27,17
Squamish Lillooet,RCMP Provincial,Pemberton Prov,87,91,124,99,82,67,76,97,103,120
Okanagan Similkameen,RCMP Municipal,Penticton Mun,"1,040",958,896,"1,062","1,089","1,044","1,178",897,766,872
Okanagan Similkameen,RCMP Provincial,Penticton Prov,112,106,82,92,72,98,67,50,100,61
Metro Vancouver,RCMP Municipal,Pitt Meadows Mun (11),327,364,396,401,313,286,252,235,413,400
Alberni Clayoquot,RCMP Municipal,Port Alberni Mun,874,929,849,837,841,865,765,794,708,698
Alberni Clayoquot,RCMP Provincial,Port Alberni Prov,99,94,83,84,101,67,82,52,46,72
Mount Waddington,RCMP Provincial,Port Alice Prov,16,19,17,8,19,9,11,13,6,12
Metro Vancouver,RCMP Municipal,Port Coquitlam Mun (1),"1,092","1,003","1,350","1,303","1,297","1,205","1,057",946,"1,077","1,260"
Mount Waddington,RCMP Provincial,Port Hardy Prov,609,536,490,466,293,326,297,292,321,348
