Number of Theft of Motor Vehicle Offences,,,,,,,,,,,,
Fraser Fort George,RCMP Municipal,Prince George Mun,"1,006",965,509,446,409,375,217,242,296,284
Fraser Fort George,RCMP Provincial,Prince George Prov,80,66,53,31,44,67,33,21,33,41
North Coast Regional District (22),RCMP Municipal,Prince Rupert Mun,21,21,20,20,25,11,10,12,14,14
North Coast Regional District (22),RCMP Provincial,Prince Rupert Prov (15),0,1,1,0,2,2,1,2,1,2
Okanagan Similkameen,RCMP Provincial,Princeton Prov,12,27,15,14,22,21,11,4,15,35
Strathcona,RCMP Provincial,Quadra Island Prov,3,3,2,8,0,7,4,1,2,1
Nanaimo,RCMP Municipal,Qualicum Beach Mun,13,36,38,9,14,9,8,5,10,5
North Coast Regional District (22),RCMP Provincial,Queen Charlotte Prov,8,4,4,2,1,4,4,2,3,2
Cariboo,RCMP Municipal,Quesnel Mun,63,97,95,101,38,34,38,44,25,47
Cariboo,RCMP Provincial,Quesnel Prov,28,60,66,47,40,24,27,18,21,19
Columbia Shuswap,RCMP Municipal,Revelstoke Mun,20,27,57,14,30,37,48,29,28,27
Columbia Shuswap,RCMP Provincial,Revelstoke Prov,4,1,6,7,6,6,4,8,2,7
Metro Vancouver,RCMP Municipal,Richmond Mun,784,656,493,532,482,306,327,245,364,400
Metro Vancouver,RCMP Provincial,"Ridge Meadows Prov (11,13)",3,3,33,61,60,55,49,55,0,3
Capital,Independent Municipal,Saanich Mun,245,243,213,188,139,84,90,56,93,72
Central Kootenay,RCMP Provincial,Salmo Prov (5),3,18,15,9,6,7,6,2,7,10
Columbia Shuswap,RCMP Municipal,Salmon Arm Mun,74,101,75,83,77,57,31,47,32,34
Columbia Shuswap,RCMP Provincial,Salmon Arm Prov,39,28,24,26,38,28,17,24,19,19
Capital,RCMP Provincial,Saltspring Island Prov,27,10,9,13,8,9,6,7,2,4
Strathcona,RCMP Provincial,Sayward Prov,4,1,1,1,0,1,0,0,2,1
Sunshine Coast,RCMP Municipal,Sechelt Mun,8,16,19,18,19,11,10,13,12,1
Cowichan Valley,RCMP Provincial,Shawnigan Lake Prov,41,62,42,33,22,17,13,18,28,13
Columbia Shuswap,RCMP Provincial,Sicamous Prov,18,21,31,43,33,37,28,30,15,24
Capital,RCMP Municipal,Sidney Mun,15,16,17,11,9,9,6,5,5,2
Capital,RCMP Provincial,Sidney Prov,3,13,11,3,2,6,0,3,5,1
Central Kootenay,RCMP Provincial,Slocan Lake Prov (5),4,7,0,6,8,5,5,2,1,2
Bulkley Nechako,RCMP Municipal,Smithers Mun,22,20,27,20,4,22,11,11,4,13
Bulkley Nechako,RCMP Provincial,Smithers Prov,25,16,20,8,10,15,11,12,4,7
Capital,RCMP Municipal,Sooke Mun,20,29,23,9,24,22,15,6,14,15
Capital,RCMP Provincial,Sooke Prov,9,9,20,27,11,9,8,7,7,14
Okanagan Similkameen,RCMP Provincial,South Okanagan/Oliver (16),94,70,45,46,26,22,30,24,63,94
Okanagan Similkameen,RCMP Provincial,South Okanagan/Osoyoos (16),78,49,37,34,36,14,21,15,42,62
North Okanagan,RCMP Municipal,Spallumcheen Mun (3),-,-,-,-,-,-,5,5,9,8
Squamish Lillooet,RCMP Municipal,Squamish Mun (1),86,49,75,55,30,50,31,33,25,46
Squamish Lillooet,RCMP Provincial,Squamish Prov,9,7,10,5,1,4,2,2,9,6
Kitimat Stikine,RCMP Provincial,Stewart Prov,0,2,0,1,2,2,1,1,3,1
Squamish Lillooet,First Nations Aboriginal Police Service,Stl'atl'imx FNAPS (17),5,9,13,2,2,8,5,6,5,5
Okanagan Similkameen,RCMP Municipal,Summerland Mun,51,36,44,36,30,15,25,10,44,53
Sunshine Coast,RCMP Provincial,Sunshine Coast Prov (18),25,36,42,36,26,23,18,11,13,12
Metro Vancouver,RCMP Municipal,Surrey Mun (19),"4,775","4,231","3,890","3,796","3,080","2,791","3,033","2,921","4,447","3,291"
Bulkley Nechako,RCMP Provincial,Takla Landing Prov,0,2,1,2,0,1,0,3,2,1
Kitimat Stikine,RCMP Municipal,Terrace Mun,16,37,27,30,15,7,7,13,13,10
Kitimat Stikine,RCMP Provincial,Terrace Prov,15,25,17,33,15,12,24,14,13,14
Powell River,RCMP Provincial,Texada Island Prov,1,0,1,0,0,1,0,0,0,0
Thompson Nicola,RCMP Provincial,T'Kumlups Prov,61,85,93,41,58,30,28,39,37,49
Alberni Clayoquot,RCMP Provincial,Tofino Prov,13,22,11,6,6,2,2,9,0,3
