Number of Property Offences,,,,,,,,,,,,
Squamish Lillooet,RCMP Provincial,Pemberton Prov,176,139,164,191,181,154,164,109,111,125
Okanagan Similkameen,RCMP Municipal,Penticton Mun,"3,119","2,769","2,670","2,573","2,460","2,315","2,392","2,102","2,330","2,932"
Okanagan Similkameen,RCMP Provincial,Penticton Prov,542,506,435,381,336,332,318,262,417,457
Metro Vancouver,RCMP Municipal,Pitt Meadows Mun (11),"1,023","1,299",969,815,630,655,691,585,968,"1,004"
Alberni Clayoquot,RCMP Municipal,Port Alberni Mun,"2,383","1,849","1,670","1,388","1,167","1,116","1,083","1,039",867,"1,045"
Alberni Clayoquot,RCMP Provincial,Port Alberni Prov,475,341,299,240,252,229,201,215,139,175
Mount Waddington,RCMP Provincial,Port Alice Prov,67,50,43,64,72,43,36,37,20,34
Metro Vancouver,RCMP Municipal,Port Coquitlam Mun (1),"4,031","3,271","2,487","1,906","2,088","2,089","2,511","2,198","2,522","2,940"
Mount Waddington,RCMP Provincial,Port Hardy Prov,516,553,422,341,316,349,318,331,286,386
Mount Waddington,RCMP Provincial,Port McNeill Prov,264,293,283,223,189,168,149,133,134,120
Metro Vancouver,Independent Municipal,Port Moody Mun,"1,404","1,169","1,011",956,842,899,841,708,803,905
Powell River,RCMP Municipal,Powell River Mun,889,846,663,635,629,569,664,520,583,484
Powell River,RCMP Provincial,Powell River Prov,211,174,193,210,150,160,125,154,129,106
Fraser Fort George,RCMP Municipal,Prince George Mun,"8,433","8,085","6,170","6,765","6,824","5,958","5,117","4,482","4,716","5,075"
Fraser Fort George,RCMP Provincial,Prince George Prov,439,381,300,309,404,428,241,246,260,336
North Coast Regional District (22),RCMP Municipal,Prince Rupert Mun,"1,268","1,241","1,277","1,316","1,373","1,122","1,042",919,897,999
North Coast Regional District (22),RCMP Provincial,Prince Rupert Prov (15),154,173,127,76,72,100,113,85,66,85
Okanagan Similkameen,RCMP Provincial,Princeton Prov,251,335,289,228,205,246,196,183,177,301
Strathcona,RCMP Provincial,Quadra Island Prov,87,101,104,85,101,98,104,45,62,45
Nanaimo,RCMP Municipal,Qualicum Beach Mun,588,591,589,374,337,231,266,196,170,228
North Coast Regional District (22),RCMP Provincial,Queen Charlotte Prov,170,126,126,89,113,77,104,90,76,73
