Number of Homicide Offences,,,,,,,,,,,,
REGION,TYPE OF POLICING,POLICING JURISDICTION,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Kitimat Stikine,RCMP Provincial,New Hazelton Prov,0,0,1,1,0,0,0,0,0,0
Metro Vancouver,Independent Municipal,New Westminster Mun,3,2,0,0,2,0,2,3,2,1
Strathcona,RCMP Provincial,Nootka Sound Prov,0,0,0,0,0,0,0,0,0,0
Cowichan Valley,RCMP Municipal,North Cowichan Mun,1,0,1,0,1,0,0,0,0,0
Capital,RCMP Municipal,North Saanich Mun,0,0,0,0,0,0,0,0,0,0
Metro Vancouver,RCMP Municipal,"North Vancouver City Mun (12,13)",2,0,0,0,0,1,0,0,0,1
Metro Vancouver,RCMP Municipal,North Vancouver District Mun (12),0,0,1,1,0,0,0,1,0,1
Metro Vancouver,RCMP Provincial,"North Vancouver Prov (1,12,13)",0,0,0,0,0,0,0,0,0,0
Northern Rockies,RCMP Municipal,Northern Rockies Mun (14),-,-,-,-,-,-,-,0,0,1
Northern Rockies,RCMP Provincial,Northern Rockies Prov (14),0,1,1,0,1,0,0,0,0,0
Capital,Independent Municipal,Oak Bay Mun,0,4,0,0,0,0,0,0,0,0
Nanaimo,RCMP Provincial,Oceanside Prov ,1,0,0,0,0,1,0,0,0,0
Cariboo,RCMP Provincial,One Hundred Mile House Prov,2,0,0,1,1,0,0,0,0,0
Capital,RCMP Provincial,Outer Gulf  Islands Prov,0,0,0,0,0,0,0,0,0,0
Nanaimo,RCMP Municipal,Parksville Mun,0,0,1,1,0,0,0,0,0,0
Central Okanagan,RCMP Municipal,Peachland Mun (10),-,-,-,-,-,-,0,0,0,0
Squamish Lillooet,RCMP Provincial,Pemberton Prov,0,0,0,0,0,0,0,0,0,0
Okanagan Similkameen,RCMP Municipal,Penticton Mun,3,1,0,2,0,1,0,0,0,2
Okanagan Similkameen,RCMP Provincial,Penticton Prov,0,0,1,0,0,1,0,0,0,0
Metro Vancouver,RCMP Municipal,Pitt Meadows Mun (11),0,0,3,0,0,0,0,0,0,0
Alberni Clayoquot,RCMP Municipal,Port Alberni Mun,1,0,2,0,0,1,1,1,0,1
Alberni Clayoquot,RCMP Provincial,Port Alberni Prov,1,0,0,1,0,0,0,0,0,0
Mount Waddington,RCMP Provincial,Port Alice Prov,0,0,0,0,0,0,0,0,1,0
Metro Vancouver,RCMP Municipal,Port Coquitlam Mun (1),0,5,1,0,1,0,0,0,1,0
Mount Waddington,RCMP Provincial,Port Hardy Prov,0,0,0,0,0,0,1,0,0,0
Mount Waddington,RCMP Provincial,Port McNeill Prov,0,0,0,1,0,0,0,0,0,0
Metro Vancouver,Independent Municipal,Port Moody Mun,0,0,0,0,0,0,3,0,0,0
Powell River,RCMP Municipal,Powell River Mun,0,0,0,0,0,0,0,0,0,0
Powell River,RCMP Provincial,Powell River Prov,0,0,0,1,0,0,0,0,0,1
Fraser Fort George,RCMP Municipal,Prince George Mun,1,1,5,3,7,1,2,1,0,3
Fraser Fort George,RCMP Provincial,Prince George Prov,2,0,0,0,2,0,1,0,1,1
North Coast Regional District (22),RCMP Municipal,Prince Rupert Mun,0,0,0,2,0,0,0,0,1,0
North Coast Regional District (22),RCMP Provincial,Prince Rupert Prov (15),0,0,0,0,0,0,0,0,0,1
Okanagan Similkameen,RCMP Provincial,Princeton Prov,0,0,1,0,0,1,0,3,0,0
Strathcona,RCMP Provincial,Quadra Island Prov,0,0,0,0,1,0,0,0,0,0
Nanaimo,RCMP Municipal,Qualicum Beach Mun,0,0,0,0,0,0,0,0,0,0
North Coast Regional District (22),RCMP Provincial,Queen Charlotte Prov,0,0,0,0,0,0,0,0,0,0
Cariboo,RCMP Municipal,Quesnel Mun,2,0,0,2,0,0,0,0,0,0
Cariboo,RCMP Provincial,Quesnel Prov,0,0,0,0,0,0,0,0,1,0
Columbia Shuswap,RCMP Municipal,Revelstoke Mun,0,0,0,0,0,0,0,0,0,0
Columbia Shuswap,RCMP Provincial,Revelstoke Prov,0,0,0,0,0,1,0,0,0,0
Metro Vancouver,RCMP Municipal,Richmond Mun,4,2,2,5,0,1,4,1,4,5
Metro Vancouver,RCMP Provincial,"Ridge Meadows Prov (11,13)",0,1,0,4,1,1,1,1,0,0
Capital,Independent Municipal,Saanich Mun,1,0,1,0,1,1,0,0,2,1
Central Kootenay,RCMP Provincial,Salmo Prov (5),0,0,0,0,0,0,0,0,0,0
Columbia Shuswap,RCMP Municipal,Salmon Arm Mun,1,0,1,0,0,2,0,0,0,0
Columbia Shuswap,RCMP Provincial,Salmon Arm Prov,0,0,0,0,0,1,0,0,0,0
Capital,RCMP Provincial,Saltspring Island Prov,0,1,0,0,0,0,0,0,0,1
Strathcona,RCMP Provincial,Sayward Prov,0,0,0,0,0,0,0,0,0,0
Sunshine Coast,RCMP Municipal,Sechelt Mun,0,0,0,0,0,0,0,0,1,0
Cowichan Valley,RCMP Provincial,Shawnigan Lake Prov,0,1,0,0,0,0,0,0,0,0
Columbia Shuswap,RCMP Provincial,Sicamous Prov,0,0,0,0,0,0,0,0,0,0
Capital,RCMP Municipal,Sidney Mun,0,0,0,0,0,0,0,0,0,0
Capital,RCMP Provincial,Sidney Prov,0,0,0,0,0,0,0,0,0,0
Central Kootenay,RCMP Provincial,Slocan Lake Prov (5),0,0,0,0,0,0,0,0,0,0
Bulkley Nechako,RCMP Municipal,Smithers Mun,0,0,0,0,0,0,0,0,1,0
Bulkley Nechako,RCMP Provincial,Smithers Prov,0,0,0,0,1,0,0,0,0,0
Capital,RCMP Municipal,Sooke Mun,0,0,0,0,0,0,1,0,1,0
Capital,RCMP Provincial,Sooke Prov,0,0,0,0,0,0,0,0,0,0
Okanagan Similkameen,RCMP Provincial,South Okanagan/Oliver (16),0,0,0,0,0,1,0,0,0,0
