Number of Drug Offences (CDSA),,,,,,,,,,,,
Capital,RCMP Municipal,Sidney Mun,80,87,81,61,47,56,52,58,67,45
Capital,RCMP Provincial,Sidney Prov,18,23,11,14,10,21,15,19,19,18
Central Kootenay,RCMP Provincial,Slocan Lake Prov (5),23,19,31,32,46,48,33,13,3,14
Bulkley Nechako,RCMP Municipal,Smithers Mun,119,110,85,142,102,82,61,63,40,35
Bulkley Nechako,RCMP Provincial,Smithers Prov,27,35,17,33,17,26,16,24,16,17
Capital,RCMP Municipal,Sooke Mun,67,88,98,97,97,68,66,85,76,71
Capital,RCMP Provincial,Sooke Prov,27,15,25,25,20,37,28,30,18,18
Okanagan Similkameen,RCMP Provincial,South Okanagan/Oliver (16),68,63,63,52,52,60,73,65,44,37
Okanagan Similkameen,RCMP Provincial,South Okanagan/Osoyoos (16),50,54,65,82,81,80,70,81,98,66
North Okanagan,RCMP Municipal,Spallumcheen Mun (3),-,-,-,-,-,-,24,19,11,10
Squamish Lillooet,RCMP Municipal,Squamish Mun (1),167,154,154,135,178,139,136,209,185,174
Squamish Lillooet,RCMP Provincial,Squamish Prov,13,9,20,35,20,10,20,15,17,21
Kitimat Stikine,RCMP Provincial,Stewart Prov,5,9,31,3,31,7,35,23,12,8
Squamish Lillooet,First Nations Aboriginal Police Service,Stl'atl'imx FNAPS (17),26,26,22,16,18,27,36,35,24,15
Okanagan Similkameen,RCMP Municipal,Summerland Mun,76,51,54,48,58,32,54,72,78,28
Sunshine Coast,RCMP Provincial,Sunshine Coast Prov (18),120,177,143,150,133,124,82,86,64,48
Metro Vancouver,RCMP Municipal,Surrey Mun (19),"2,641","2,714","2,710","2,310","2,418","2,221","1,997","2,376","2,560","2,794"
Bulkley Nechako,RCMP Provincial,Takla Landing Prov,2,1,2,1,6,5,5,1,4,2
Kitimat Stikine,RCMP Municipal,Terrace Mun,86,86,70,70,77,106,81,102,115,77
Kitimat Stikine,RCMP Provincial,Terrace Prov,47,45,36,19,30,29,52,40,32,30
Powell River,RCMP Provincial,Texada Island Prov,36,26,27,82,64,16,11,14,12,8
Thompson Nicola,RCMP Provincial,T'Kumlups Prov,91,74,38,49,76,81,84,124,100,88
Alberni Clayoquot,RCMP Provincial,Tofino Prov,48,24,34,33,53,32,25,23,14,10
Kootenay Boundary,RCMP Municipal,Trail Mun,45,35,60,74,73,71,63,72,54,36
Kootenay Boundary,RCMP Provincial,"Trail and Greater District (5,20)",31,14,38,32,48,61,43,62,30,51
Fraser Fort George,RCMP Provincial,Tsay Keh Dene Prov,19,2,3,2,3,5,5,7,5,3
Peace River,RCMP Provincial,Tumbler Ridge Prov,63,39,24,29,24,14,11,12,7,15
Alberni Clayoquot,RCMP Provincial,Ucluelet Prov,51,42,25,42,82,51,23,13,20,12
Metro Vancouver,RCMP Provincial,University Prov,102,104,109,142,219,296,155,217,94,65
Fraser Fort George,RCMP Provincial,Valemount Prov,33,73,27,27,30,30,44,63,81,30
Metro Vancouver,Independent Municipal,Vancouver Mun (1),"3,933","5,233","5,281","3,199","3,194","2,810","2,630","3,108","3,042","2,709"
Bulkley Nechako,RCMP Provincial,Vanderhoof Prov,69,59,57,68,68,77,78,62,41,53
North Okanagan,RCMP Municipal,Vernon Mun,260,309,251,252,283,306,317,296,348,245
North Okanagan,RCMP Provincial,Vernon Prov,39,40,26,37,30,33,51,29,33,27
Capital,Independent Municipal,Victoria Mun (21),685,782,823,738,910,934,802,643,700,598
Capital,RCMP Municipal,View Royal Mun,27,31,21,27,32,34,41,55,22,35
Cariboo,RCMP Provincial,Wells Prov,2,2,2,1,2,3,3,1,5,1
Central Okanagan,RCMP Municipal,West Kelowna Mun (9),-,-,-,82,109,109,112,116,80,74
Capital,RCMP Provincial,West Shore Prov,21,14,28,23,27,27,27,16,29,20
Metro Vancouver,Independent Municipal,West Vancouver Mun (1),121,159,191,167,185,204,178,190,168,148
Squamish Lillooet,RCMP Municipal,Whistler Mun,208,263,178,179,243,203,198,184,192,259
Squamish Lillooet,RCMP Provincial,Whistler Prov,1,2,3,3,5,4,5,3,4,2
Metro Vancouver,RCMP Municipal,White Rock Mun,198,196,140,173,142,142,133,132,90,100
Cariboo,RCMP Municipal,Williams Lake Mun,125,166,186,186,259,200,176,208,185,141
