Number of Violent Offences,,,,,,,,,,,,
North Okanagan,RCMP Provincial,Vernon Prov,103,110,138,127,121,118,100,95,76,60
Capital,Independent Municipal,Victoria Mun (21),"2,329","2,383","2,526","2,562","2,867","2,361","2,139","2,074","2,299","2,572"
Capital,RCMP Municipal,View Royal Mun,106,89,100,137,121,93,73,61,68,60
Cariboo,RCMP Provincial,Wells Prov,6,1,4,5,5,5,7,2,9,11
Central Okanagan,RCMP Municipal,West Kelowna Mun (9),-,-,-,338,276,254,255,242,179,230
Capital,RCMP Provincial,West Shore Prov,112,105,130,114,134,92,67,64,55,47
Metro Vancouver,Independent Municipal,West Vancouver Mun (1),394,384,337,290,292,323,336,312,268,313
Squamish Lillooet,RCMP Municipal,Whistler Mun,253,303,258,270,211,238,266,235,189,215
Squamish Lillooet,RCMP Provincial,Whistler Prov,2,3,3,5,0,0,1,2,2,1
Metro Vancouver,RCMP Municipal,White Rock Mun,221,180,148,184,201,157,132,104,107,146
Cariboo,RCMP Municipal,Williams Lake Mun,628,575,642,567,587,586,622,537,529,437
Cariboo,RCMP Provincial,Williams Lake Prov,172,181,241,179,167,157,196,178,149,123
,,BRITISH COLUMBIA (23),"79,693","76,802","73,891","74,496","71,139","66,927","63,904","57,231","53,209","56,994"
,,,,,,,,,,,,
Footnote:,,,,,,,,,,,,
"Violent Crimes include the offences of homicide, attempted murder, sexual and non-sexual assault, sexual offences against children, abduction, forcible confinement or kidnapping, robbery, criminal harassment, extortion, uttering threats, and threatening or harassing phone calls.  ",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Source: ,,,,,,,,,,,,
"Statistics Canada. Table 252-0081 - Incident-based crime statistics, by detailed violations and police services, British Columbia, annual (number unless otherwise noted)",,,,,,,,,,,,
"(accessed: August 4, 2016)",,,,,,,,,,,,
