Number of Criminal Code Offences,,,,,,,,,,,,
Nanaimo,RCMP Provincial,Nanaimo Prov,935,797,748,598,601,565,466,412,450,508
Central Kootenay,Independent Municipal,Nelson Mun,"1,161","1,084","1,060",951,"1,015",923,996,964,865,854
Central Kootenay,RCMP Provincial,Nelson Prov (5),423,389,374,295,272,288,282,294,231,246
Kitimat Stikine,RCMP Provincial,New Hazelton Prov,"1,010","1,019","1,189","1,367","1,402","1,387","1,197","1,253","1,186",846
Metro Vancouver,Independent Municipal,New Westminster Mun,"7,796","7,280","6,536","6,221","6,024","5,689","5,851","5,737","5,816","5,393"
Strathcona,RCMP Provincial,Nootka Sound Prov,299,281,206,192,193,147,197,171,183,207
Cowichan Valley,RCMP Municipal,North Cowichan Mun,"2,772","2,624","2,418","2,355","2,328","2,430","2,302","2,128","2,018","2,493"
Capital,RCMP Municipal,North Saanich Mun,418,408,451,439,404,390,333,280,312,328
Metro Vancouver,RCMP Municipal,"North Vancouver City Mun (12,13)","4,699","4,298","4,177","4,731","4,116","3,895","3,430","3,409","3,499","3,925"
Metro Vancouver,RCMP Municipal,North Vancouver District Mun (12),"4,747","4,380","3,911","4,280","3,862","3,665","3,490","3,199","3,326","3,347"
Metro Vancouver,RCMP Provincial,"North Vancouver Prov (1,12,13)",296,322,380,421,428,412,372,310,313,306
Northern Rockies,RCMP Municipal,Northern Rockies Mun (14),-,-,-,-,-,-,-,618,691,636
Northern Rockies,RCMP Provincial,Northern Rockies Prov (14),"1,533","1,211","1,028","1,104","1,180","1,252","1,242",517,323,281
Capital,Independent Municipal,Oak Bay Mun,913,906,854,829,734,763,685,507,479,509
Nanaimo,RCMP Provincial,Oceanside Prov ,"1,675","1,381","1,165","1,108",960,856,727,802,725,977
Cariboo,RCMP Provincial,One Hundred Mile House Prov,"1,317","1,110",986,796,740,758,654,569,551,631
Capital,RCMP Provincial,Outer Gulf  Islands Prov,226,218,175,135,129,150,132,150,158,138
Nanaimo,RCMP Municipal,Parksville Mun,"1,569","1,718","1,513","1,194",896,795,893,883,798,"1,133"
Central Okanagan,RCMP Municipal,Peachland Mun (10),-,-,-,-,-,-,157,164,221,169
Squamish Lillooet,RCMP Provincial,Pemberton Prov,321,281,361,356,323,270,312,262,276,322
Okanagan Similkameen,RCMP Municipal,Penticton Mun,"4,935","4,533","4,266","4,497","4,341","4,138","4,146","3,408","3,494","4,284"
Okanagan Similkameen,RCMP Provincial,Penticton Prov,792,741,637,590,489,529,469,364,582,571
Metro Vancouver,RCMP Municipal,Pitt Meadows Mun (11),"1,551","1,920","1,625","1,463","1,150","1,126","1,110",982,"1,594","1,627"
Alberni Clayoquot,RCMP Municipal,Port Alberni Mun,"3,984","3,438","3,171","2,752","2,465","2,508","2,291","2,279","1,960","2,126"
Alberni Clayoquot,RCMP Provincial,Port Alberni Prov,710,560,478,410,441,376,365,335,238,294
Mount Waddington,RCMP Provincial,Port Alice Prov,107,87,82,91,113,74,53,58,34,55
Metro Vancouver,RCMP Municipal,Port Coquitlam Mun (1),"5,914","4,934","4,402","3,798","3,906","3,815","4,157","3,710","4,112","4,777"
Mount Waddington,RCMP Provincial,Port Hardy Prov,"1,482","1,332","1,090",973,758,839,789,793,779,872
Mount Waddington,RCMP Provincial,Port McNeill Prov,576,562,511,386,323,265,266,225,228,233
Metro Vancouver,Independent Municipal,Port Moody Mun,"1,849","1,554","1,375","1,366","1,244","1,222","1,141","1,013","1,052","1,165"
Powell River,RCMP Municipal,Powell River Mun,"1,493","1,372","1,188","1,129",970,997,"1,120",925,984,876
Powell River,RCMP Provincial,Powell River Prov,486,360,380,413,290,309,255,291,203,197
Fraser Fort George,RCMP Municipal,Prince George Mun,"14,937","14,079","11,043","11,986","12,735","11,975","11,761","10,353","10,229","10,643"
Fraser Fort George,RCMP Provincial,Prince George Prov,687,609,489,510,665,648,484,459,435,532
North Coast Regional District (22),RCMP Municipal,Prince Rupert Mun,"3,085","3,450","3,224","3,072","3,137","3,568","3,360","2,757","2,373","2,505"
North Coast Regional District (22),RCMP Provincial,Prince Rupert Prov (15),373,422,354,208,236,331,339,218,215,252
Okanagan Similkameen,RCMP Provincial,Princeton Prov,436,536,471,443,407,451,346,335,345,452
Strathcona,RCMP Provincial,Quadra Island Prov,246,181,158,141,188,173,144,81,88,80
Nanaimo,RCMP Municipal,Qualicum Beach Mun,729,739,713,467,430,311,352,256,228,293
North Coast Regional District (22),RCMP Provincial,Queen Charlotte Prov,372,323,292,163,239,167,190,157,118,147
Cariboo,RCMP Municipal,Quesnel Mun,"2,537","2,474","2,733","2,382","1,994","2,125","2,127","1,782","1,810","1,885"
Cariboo,RCMP Provincial,Quesnel Prov,673,827,899,781,628,606,642,633,584,578
Columbia Shuswap,RCMP Municipal,Revelstoke Mun,745,761,866,692,570,619,633,494,432,526
Columbia Shuswap,RCMP Provincial,Revelstoke Prov,68,85,66,61,56,66,51,44,31,61
Metro Vancouver,RCMP Municipal,Richmond Mun,"13,290","12,817","12,796","12,110","12,253","11,218","11,453","10,571","12,345","12,082"
Metro Vancouver,RCMP Provincial,"Ridge Meadows Prov (11,13)",83,32,555,"1,208","1,351","1,266","1,153","1,442",29,69
