Number of Administration of Justice Offences,,,,,,,,,,,,
Metro Vancouver,RCMP Municipal,Pitt Meadows Mun (11),41,19,31,30,21,20,23,25,17,29
Alberni Clayoquot,RCMP Municipal,Port Alberni Mun,307,226,242,306,295,284,316,394,383,338
Alberni Clayoquot,RCMP Provincial,Port Alberni Prov,49,22,25,27,14,12,21,19,16,28
Mount Waddington,RCMP Provincial,Port Alice Prov,4,14,2,2,2,2,0,4,0,4
Metro Vancouver,RCMP Municipal,Port Coquitlam Mun (1),177,93,88,127,104,145,156,129,113,131
Mount Waddington,RCMP Provincial,Port Hardy Prov,104,99,79,130,158,219,198,167,214,204
Mount Waddington,RCMP Provincial,Port McNeill Prov,52,25,33,16,27,24,26,15,5,17
Metro Vancouver,Independent Municipal,Port Moody Mun,46,48,44,59,64,59,34,41,47,40
Powell River,RCMP Municipal,Powell River Mun,115,65,53,46,31,25,37,52,32,56
Powell River,RCMP Provincial,Powell River Prov,38,17,34,24,9,21,14,21,9,15
Fraser Fort George,RCMP Municipal,Prince George Mun,"1,072",883,467,526,969,"1,005",984,"1,070","1,040","1,205"
Fraser Fort George,RCMP Provincial,Prince George Prov,47,33,10,12,16,17,17,18,16,28
North Coast Regional District (22),RCMP Municipal,Prince Rupert Mun,221,324,254,255,225,213,272,177,177,201
North Coast Regional District (22),RCMP Provincial,Prince Rupert Prov (15),15,37,26,10,23,29,31,12,17,19
Okanagan Similkameen,RCMP Provincial,Princeton Prov,19,15,5,16,30,9,10,13,21,24
Strathcona,RCMP Provincial,Quadra Island Prov,16,5,3,6,3,3,4,4,0,1
Nanaimo,RCMP Municipal,Qualicum Beach Mun,15,9,10,3,9,5,6,5,6,10
North Coast Regional District (22),RCMP Provincial,Queen Charlotte Prov,20,59,31,6,37,14,21,8,7,13
Cariboo,RCMP Municipal,Quesnel Mun,204,112,110,108,103,140,135,116,100,124
Cariboo,RCMP Provincial,Quesnel Prov,39,14,30,25,22,29,33,30,25,25
Columbia Shuswap,RCMP Municipal,Revelstoke Mun,30,31,40,10,17,27,26,23,23,14
