STATISTIC,REGION,TYPE OF POLICING,POLICING JURISDICTION,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Criminal Code Offences,Nanaimo,RCMP Provincial,Oceanside Prov ,"1,675.00","1,381.00","1,165.00","1,108.00",960.00,856.00,727.00,802.00,725.00,977.00
Criminal Code Offences,Cariboo,RCMP Provincial,One Hundred Mile House Prov,"1,317.00","1,110.00",986.00,796.00,740.00,758.00,654.00,569.00,551.00,631.00
Criminal Code Offences,Capital,RCMP Provincial,Outer Gulf  Islands Prov,226.00,218.00,175.00,135.00,129.00,150.00,132.00,150.00,158.00,138.00
Criminal Code Offences,Nanaimo,RCMP Municipal,Parksville Mun,"1,569.00","1,718.00","1,513.00","1,194.00",896.00,795.00,893.00,883.00,798.00,"1,133.00"
Criminal Code Offences,Central Okanagan,RCMP Municipal,Peachland Mun (10),,,,,,,157.00,164.00,221.00,169.00
Criminal Code Offences,Squamish Lillooet,RCMP Provincial,Pemberton Prov,321.00,281.00,361.00,356.00,323.00,270.00,312.00,262.00,276.00,322.00
Criminal Code Offences,Okanagan Similkameen,RCMP Municipal,Penticton Mun,"4,935.00","4,533.00","4,266.00","4,497.00","4,341.00","4,138.00","4,146.00","3,408.00","3,494.00","4,284.00"
Criminal Code Offences,Okanagan Similkameen,RCMP Provincial,Penticton Prov,792.00,741.00,637.00,590.00,489.00,529.00,469.00,364.00,582.00,571.00
Criminal Code Offences,Metro Vancouver,RCMP Municipal,Pitt Meadows Mun (11),"1,551.00","1,920.00","1,625.00","1,463.00","1,150.00","1,126.00","1,110.00",982.00,"1,594.00","1,627.00"
Criminal Code Offences,Alberni Clayoquot,RCMP Municipal,Port Alberni Mun,"3,984.00","3,438.00","3,171.00","2,752.00","2,465.00","2,508.00","2,291.00","2,279.00","1,960.00","2,126.00"
Criminal Code Offences,Alberni Clayoquot,RCMP Provincial,Port Alberni Prov,710.00,560.00,478.00,410.00,441.00,376.00,365.00,335.00,238.00,294.00
Criminal Code Offences,Mount Waddington,RCMP Provincial,Port Alice Prov,107.00,87.00,82.00,91.00,113.00,74.00,53.00,58.00,34.00,55.00
Criminal Code Offences,Metro Vancouver,RCMP Municipal,Port Coquitlam Mun (1),"5,914.00","4,934.00","4,402.00","3,798.00","3,906.00","3,815.00","4,157.00","3,710.00","4,112.00","4,777.00"
Criminal Code Offences,Mount Waddington,RCMP Provincial,Port Hardy Prov,"1,482.00","1,332.00","1,090.00",973.00,758.00,839.00,789.00,793.00,779.00,872.00
Criminal Code Offences,Mount Waddington,RCMP Provincial,Port McNeill Prov,576.00,562.00,511.00,386.00,323.00,265.00,266.00,225.00,228.00,233.00
Criminal Code Offences,Metro Vancouver,Independent Municipal,Port Moody Mun,"1,849.00","1,554.00","1,375.00","1,366.00","1,244.00","1,222.00","1,141.00","1,013.00","1,052.00","1,165.00"
Criminal Code Offences,Powell River,RCMP Municipal,Powell River Mun,"1,493.00","1,372.00","1,188.00","1,129.00",970.00,997.00,"1,120.00",925.00,984.00,876.00
Criminal Code Offences,Powell River,RCMP Provincial,Powell River Prov,486.00,360.00,380.00,413.00,290.00,309.00,255.00,291.00,203.00,197.00
Criminal Code Offences,Fraser Fort George,RCMP Municipal,Prince George Mun,"14,937.00","14,079.00","11,043.00","11,986.00","12,735.00","11,975.00","11,761.00","10,353.00","10,229.00","10,643.00"
Criminal Code Offences,Fraser Fort George,RCMP Provincial,Prince George Prov,687.00,609.00,489.00,510.00,665.00,648.00,484.00,459.00,435.00,532.00
Criminal Code Offences,North Coast Regional District (22),RCMP Municipal,Prince Rupert Mun,"3,085.00","3,450.00","3,224.00","3,072.00","3,137.00","3,568.00","3,360.00","2,757.00","2,373.00","2,505.00"
Criminal Code Offences,North Coast Regional District (22),RCMP Provincial,Prince Rupert Prov (15),373.00,422.00,354.00,208.00,236.00,331.00,339.00,218.00,215.00,252.00
Criminal Code Offences,Okanagan Similkameen,RCMP Provincial,Princeton Prov,436.00,536.00,471.00,443.00,407.00,451.00,346.00,335.00,345.00,452.00
Criminal Code Offences,Strathcona,RCMP Provincial,Quadra Island Prov,246.00,181.00,158.00,141.00,188.00,173.00,144.00,81.00,88.00,80.00
Criminal Code Offences,Nanaimo,RCMP Municipal,Qualicum Beach Mun,729.00,739.00,713.00,467.00,430.00,311.00,352.00,256.00,228.00,293.00
Criminal Code Offences,North Coast Regional District (22),RCMP Provincial,Queen Charlotte Prov,372.00,323.00,292.00,163.00,239.00,167.00,190.00,157.00,118.00,147.00
Criminal Code Offences,Cariboo,RCMP Municipal,Quesnel Mun,"2,537.00","2,474.00","2,733.00","2,382.00","1,994.00","2,125.00","2,127.00","1,782.00","1,810.00","1,885.00"
Criminal Code Offences,Cariboo,RCMP Provincial,Quesnel Prov,673.00,827.00,899.00,781.00,628.00,606.00,642.00,633.00,584.00,578.00
Criminal Code Offences,Columbia Shuswap,RCMP Municipal,Revelstoke Mun,745.00,761.00,866.00,692.00,570.00,619.00,633.00,494.00,432.00,526.00
Criminal Code Offences,Columbia Shuswap,RCMP Provincial,Revelstoke Prov,68.00,85.00,66.00,61.00,56.00,66.00,51.00,44.00,31.00,61.00
Criminal Code Offences,Metro Vancouver,RCMP Municipal,Richmond Mun,"13,290.00","12,817.00","12,796.00","12,110.00","12,253.00","11,218.00","11,453.00","10,571.00","12,345.00","12,082.00"
Criminal Code Offences,Metro Vancouver,RCMP Provincial,"Ridge Meadows Prov (11,13)",83.00,32.00,555.00,"1,208.00","1,351.00","1,266.00","1,153.00","1,442.00",29.00,69.00
Criminal Code Offences,Capital,Independent Municipal,Saanich Mun,"6,309.00","5,922.00","5,810.00","5,826.00","5,816.00","4,888.00","4,921.00","4,188.00","3,894.00","4,342.00"
Criminal Code Offences,Central Kootenay,RCMP Provincial,Salmo Prov (5),256.00,304.00,297.00,254.00,190.00,315.00,255.00,265.00,196.00,208.00
Criminal Code Offences,Columbia Shuswap,RCMP Municipal,Salmon Arm Mun,"1,800.00","2,031.00","1,687.00","1,816.00","1,909.00","1,424.00","1,320.00","1,203.00",852.00,851.00
Criminal Code Offences,Columbia Shuswap,RCMP Provincial,Salmon Arm Prov,597.00,637.00,458.00,458.00,534.00,393.00,274.00,291.00,258.00,328.00
Criminal Code Offences,Capital,RCMP Provincial,Saltspring Island Prov,609.00,591.00,692.00,599.00,618.00,477.00,394.00,419.00,326.00,324.00
Criminal Code Offences,Strathcona,RCMP Provincial,Sayward Prov,100.00,143.00,111.00,79.00,53.00,51.00,49.00,42.00,51.00,56.00
Criminal Code Offences,Sunshine Coast,RCMP Municipal,Sechelt Mun,858.00,869.00,889.00,776.00,734.00,650.00,681.00,588.00,529.00,661.00
Criminal Code Offences,Cowichan Valley,RCMP Provincial,Shawnigan Lake Prov,882.00,"1,031.00",976.00,888.00,580.00,689.00,672.00,652.00,619.00,718.00
Criminal Code Offences,Columbia Shuswap,RCMP Provincial,Sicamous Prov,533.00,454.00,360.00,394.00,411.00,302.00,329.00,243.00,241.00,349.00
Criminal Code Offences,Capital,RCMP Municipal,Sidney Mun,701.00,653.00,793.00,775.00,703.00,661.00,625.00,583.00,465.00,444.00
Criminal Code Offences,Capital,RCMP Provincial,Sidney Prov,298.00,271.00,336.00,356.00,333.00,356.00,254.00,233.00,287.00,317.00
Criminal Code Offences,Central Kootenay,RCMP Provincial,Slocan Lake Prov (5),121.00,84.00,57.00,107.00,185.00,194.00,188.00,141.00,128.00,108.00
Criminal Code Offences,Bulkley Nechako,RCMP Municipal,Smithers Mun,"1,317.00","1,320.00","1,177.00","1,086.00",848.00,905.00,806.00,979.00,"1,015.00",885.00
Criminal Code Offences,Bulkley Nechako,RCMP Provincial,Smithers Prov,454.00,442.00,390.00,458.00,349.00,423.00,399.00,352.00,381.00,346.00
Criminal Code Offences,Capital,RCMP Municipal,Sooke Mun,"1,089.00","1,058.00","1,134.00",978.00,739.00,737.00,534.00,622.00,711.00,699.00
Criminal Code Offences,Capital,RCMP Provincial,Sooke Prov,457.00,340.00,347.00,400.00,315.00,210.00,162.00,128.00,167.00,265.00
Criminal Code Offences,Okanagan Similkameen,RCMP Provincial,South Okanagan/Oliver (16),"1,104.00",934.00,851.00,882.00,607.00,629.00,700.00,547.00,707.00,763.00
Criminal Code Offences,Okanagan Similkameen,RCMP Provincial,South Okanagan/Osoyoos (16),891.00,831.00,811.00,725.00,689.00,517.00,564.00,544.00,749.00,580.00
Criminal Code Offences,North Okanagan,RCMP Municipal,Spallumcheen Mun (3),,,,,,,124.00,164.00,123.00,123.00
Criminal Code Offences,Squamish Lillooet,RCMP Municipal,Squamish Mun (1),"2,840.00","2,438.00","2,408.00","1,727.00","1,784.00","1,817.00","1,831.00","1,742.00","1,560.00","1,446.00"
Criminal Code Offences,Squamish Lillooet,RCMP Provincial,Squamish Prov,217.00,174.00,161.00,101.00,87.00,108.00,129.00,142.00,168.00,166.00
Criminal Code Offences,Kitimat Stikine,RCMP Provincial,Stewart Prov,57.00,55.00,50.00,31.00,40.00,54.00,65.00,71.00,49.00,40.00
Criminal Code Offences,Squamish Lillooet,First Nations Aboriginal Police Service,Stl'atl'imx FNAPS (17),557.00,574.00,549.00,530.00,545.00,346.00,387.00,401.00,332.00,358.00
Criminal Code Offences,Okanagan Similkameen,RCMP Municipal,Summerland Mun,720.00,754.00,600.00,546.00,497.00,488.00,487.00,356.00,374.00,570.00
Criminal Code Offences,Sunshine Coast,RCMP Provincial,Sunshine Coast Prov (18),"1,343.00","1,477.00","1,551.00","1,457.00","1,517.00","1,417.00","1,044.00",842.00,789.00,874.00
Criminal Code Offences,Metro Vancouver,RCMP Municipal,Surrey Mun (19),"46,708.00","46,397.00","45,596.00","44,330.00","42,735.00","42,913.00","43,105.00","42,243.00","49,453.00","49,228.00"
Criminal Code Offences,Bulkley Nechako,RCMP Provincial,Takla Landing Prov,106.00,96.00,61.00,124.00,131.00,126.00,124.00,117.00,104.00,87.00
Criminal Code Offences,Kitimat Stikine,RCMP Municipal,Terrace Mun,"2,459.00","2,462.00","2,537.00","2,621.00","2,150.00","2,151.00","2,331.00","2,122.00","2,131.00","2,636.00"
Criminal Code Offences,Kitimat Stikine,RCMP Provincial,Terrace Prov,710.00,608.00,583.00,687.00,530.00,539.00,657.00,538.00,539.00,605.00
