STATISTIC,REGION,TYPE OF POLICING,POLICING JURISDICTION,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Homicide,Metro Vancouver,RCMP Municipal,Maple Ridge Mun (1)(11),0.00,2.00,3.00,1.00,0.00,0.00,2.00,1.00,3.00,1.00
Homicide,North Coast Regional District (22),RCMP Provincial,Masset Prov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Fraser Fort George,RCMP Provincial,McBride Prov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Thompson Nicola,RCMP Municipal,Merritt Mun,0.00,0.00,4.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
Homicide,Thompson Nicola,RCMP Provincial,Merritt Prov,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Fraser Valley,RCMP Municipal,Mission Mun,0.00,1.00,2.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00
Homicide,Fraser Valley,RCMP Provincial,Mission Prov,0.00,0.00,2.00,2.00,1.00,0.00,0.00,0.00,1.00,2.00
Homicide,Central Kootenay,RCMP Provincial,Nakusp Prov (5),0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Nanaimo,RCMP Municipal,Nanaimo Mun (1),1.00,1.00,1.00,0.00,3.00,1.00,0.00,3.00,2.00,0.00
Homicide,Nanaimo,RCMP Provincial,Nanaimo Prov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Central Kootenay,Independent Municipal,Nelson Mun,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Central Kootenay,RCMP Provincial,Nelson Prov (5),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Kitimat Stikine,RCMP Provincial,New Hazelton Prov,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Metro Vancouver,Independent Municipal,New Westminster Mun,3.00,2.00,0.00,0.00,2.00,0.00,2.00,3.00,2.00,1.00
Homicide,Strathcona,RCMP Provincial,Nootka Sound Prov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Cowichan Valley,RCMP Municipal,North Cowichan Mun,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
Homicide,Capital,RCMP Municipal,North Saanich Mun,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Metro Vancouver,RCMP Municipal,"North Vancouver City Mun (12,13)",2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
Homicide,Metro Vancouver,RCMP Municipal,North Vancouver District Mun (12),0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00
Homicide,Metro Vancouver,RCMP Provincial,"North Vancouver Prov (1,12,13)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Northern Rockies,RCMP Municipal,Northern Rockies Mun (14),,,,,,,,0.00,0.00,1.00
Homicide,Northern Rockies,RCMP Provincial,Northern Rockies Prov (14),0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
Homicide,Capital,Independent Municipal,Oak Bay Mun,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Nanaimo,RCMP Provincial,Oceanside Prov ,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
Homicide,Cariboo,RCMP Provincial,One Hundred Mile House Prov,2.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
Homicide,Capital,RCMP Provincial,Outer Gulf  Islands Prov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Nanaimo,RCMP Municipal,Parksville Mun,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Central Okanagan,RCMP Municipal,Peachland Mun (10),,,,,,,0.00,0.00,0.00,0.00
Homicide,Squamish Lillooet,RCMP Provincial,Pemberton Prov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Okanagan Similkameen,RCMP Municipal,Penticton Mun,3.00,1.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00,2.00
Homicide,Okanagan Similkameen,RCMP Provincial,Penticton Prov,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
Homicide,Metro Vancouver,RCMP Municipal,Pitt Meadows Mun (11),0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Alberni Clayoquot,RCMP Municipal,Port Alberni Mun,1.00,0.00,2.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00
Homicide,Alberni Clayoquot,RCMP Provincial,Port Alberni Prov,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Mount Waddington,RCMP Provincial,Port Alice Prov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
Homicide,Metro Vancouver,RCMP Municipal,Port Coquitlam Mun (1),0.00,5.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
Homicide,Mount Waddington,RCMP Provincial,Port Hardy Prov,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
Homicide,Mount Waddington,RCMP Provincial,Port McNeill Prov,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Metro Vancouver,Independent Municipal,Port Moody Mun,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00
Homicide,Powell River,RCMP Municipal,Powell River Mun,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Powell River,RCMP Provincial,Powell River Prov,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
Homicide,Fraser Fort George,RCMP Municipal,Prince George Mun,1.00,1.00,5.00,3.00,7.00,1.00,2.00,1.00,0.00,3.00
Homicide,Fraser Fort George,RCMP Provincial,Prince George Prov,2.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,1.00,1.00
Homicide,North Coast Regional District (22),RCMP Municipal,Prince Rupert Mun,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00
Homicide,North Coast Regional District (22),RCMP Provincial,Prince Rupert Prov (15),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
Homicide,Okanagan Similkameen,RCMP Provincial,Princeton Prov,0.00,0.00,1.00,0.00,0.00,1.00,0.00,3.00,0.00,0.00
Homicide,Strathcona,RCMP Provincial,Quadra Island Prov,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
Homicide,Nanaimo,RCMP Municipal,Qualicum Beach Mun,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,North Coast Regional District (22),RCMP Provincial,Queen Charlotte Prov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Cariboo,RCMP Municipal,Quesnel Mun,2.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Cariboo,RCMP Provincial,Quesnel Prov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
Homicide,Columbia Shuswap,RCMP Municipal,Revelstoke Mun,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Columbia Shuswap,RCMP Provincial,Revelstoke Prov,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
Homicide,Metro Vancouver,RCMP Municipal,Richmond Mun,4.00,2.00,2.00,5.00,0.00,1.00,4.00,1.00,4.00,5.00
Homicide,Metro Vancouver,RCMP Provincial,"Ridge Meadows Prov (11,13)",0.00,1.00,0.00,4.00,1.00,1.00,1.00,1.00,0.00,0.00
Homicide,Capital,Independent Municipal,Saanich Mun,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,2.00,1.00
Homicide,Central Kootenay,RCMP Provincial,Salmo Prov (5),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Columbia Shuswap,RCMP Municipal,Salmon Arm Mun,1.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
Homicide,Columbia Shuswap,RCMP Provincial,Salmon Arm Prov,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
Homicide,Capital,RCMP Provincial,Saltspring Island Prov,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
Homicide,Strathcona,RCMP Provincial,Sayward Prov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Sunshine Coast,RCMP Municipal,Sechelt Mun,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
Homicide,Cowichan Valley,RCMP Provincial,Shawnigan Lake Prov,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Columbia Shuswap,RCMP Provincial,Sicamous Prov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Capital,RCMP Municipal,Sidney Mun,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Capital,RCMP Provincial,Sidney Prov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Central Kootenay,RCMP Provincial,Slocan Lake Prov (5),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Bulkley Nechako,RCMP Municipal,Smithers Mun,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
Homicide,Bulkley Nechako,RCMP Provincial,Smithers Prov,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
Homicide,Capital,RCMP Municipal,Sooke Mun,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00
Homicide,Capital,RCMP Provincial,Sooke Prov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Okanagan Similkameen,RCMP Provincial,South Okanagan/Oliver (16),0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
Homicide,Okanagan Similkameen,RCMP Provincial,South Okanagan/Osoyoos (16),0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,North Okanagan,RCMP Municipal,Spallumcheen Mun (3),,,,,,,0.00,0.00,0.00,0.00
Homicide,Squamish Lillooet,RCMP Municipal,Squamish Mun (1),0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Squamish Lillooet,RCMP Provincial,Squamish Prov,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
Homicide,Kitimat Stikine,RCMP Provincial,Stewart Prov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Squamish Lillooet,First Nations Aboriginal Police Service,Stl'atl'imx FNAPS (17),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Okanagan Similkameen,RCMP Municipal,Summerland Mun,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Sunshine Coast,RCMP Provincial,Sunshine Coast Prov (18),0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Metro Vancouver,RCMP Municipal,Surrey Mun (19),11.00,14.00,16.00,20.00,14.00,16.00,9.00,25.00,17.00,8.00
Homicide,Bulkley Nechako,RCMP Provincial,Takla Landing Prov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
Homicide,Kitimat Stikine,RCMP Municipal,Terrace Mun,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,2.00
Homicide,Kitimat Stikine,RCMP Provincial,Terrace Prov,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00
Homicide,Powell River,RCMP Provincial,Texada Island Prov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Thompson Nicola,RCMP Provincial,T'Kumlups Prov,0.00,2.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00
Homicide,Alberni Clayoquot,RCMP Provincial,Tofino Prov,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
Homicide,Kootenay Boundary,RCMP Municipal,Trail Mun,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
Homicide,Kootenay Boundary,RCMP Provincial,"Trail and Greater District (5,20)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00
Homicide,Fraser Fort George,RCMP Provincial,Tsay Keh Dene Prov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Peace River,RCMP Provincial,Tumbler Ridge Prov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Alberni Clayoquot,RCMP Provincial,Ucluelet Prov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Metro Vancouver,RCMP Provincial,University Prov,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Fraser Fort George,RCMP Provincial,Valemount Prov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Metro Vancouver,Independent Municipal,Vancouver Mun (1),19.00,22.00,19.00,18.00,12.00,15.00,8.00,6.00,10.00,16.00
Homicide,Bulkley Nechako,RCMP Provincial,Vanderhoof Prov,0.00,0.00,1.00,0.00,1.00,0.00,1.00,2.00,0.00,0.00
Homicide,North Okanagan,RCMP Municipal,Vernon Mun,0.00,1.00,1.00,0.00,1.00,0.00,0.00,2.00,0.00,1.00
Homicide,North Okanagan,RCMP Provincial,Vernon Prov,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
Homicide,Capital,Independent Municipal,Victoria Mun (21),3.00,0.00,3.00,3.00,3.00,3.00,2.00,1.00,1.00,5.00
Homicide,Capital,RCMP Municipal,View Royal Mun,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Cariboo,RCMP Provincial,Wells Prov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Central Okanagan,RCMP Municipal,West Kelowna Mun (9),,,,0.00,2.00,0.00,0.00,2.00,0.00,1.00
Homicide,Capital,RCMP Provincial,West Shore Prov,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00
Homicide,Metro Vancouver,Independent Municipal,West Vancouver Mun (1),1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00
Homicide,Squamish Lillooet,RCMP Municipal,Whistler Mun,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
Homicide,Squamish Lillooet,RCMP Provincial,Whistler Prov,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homicide,Metro Vancouver,RCMP Municipal,White Rock Mun,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
Homicide,Cariboo,RCMP Municipal,Williams Lake Mun,4.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00
Homicide,Cariboo,RCMP Provincial,Williams Lake Prov,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
Motor Vehicle Theft,Fraser Valley,Independent Municipal,Abbotsford Mun (1),"1,476.00","1,331.00","1,224.00",784.00,672.00,551.00,336.00,389.00,468.00,653.00
Motor Vehicle Theft,Fraser Valley,RCMP Provincial,Agassiz Prov (2),118.00,88.00,66.00,33.00,23.00,34.00,10.00,21.00,16.00,25.00
Motor Vehicle Theft,Mount Waddington,RCMP Provincial,Alert Bay Prov,1.00,1.00,0.00,0.00,3.00,3.00,2.00,3.00,1.00,3.00
Motor Vehicle Theft,Cariboo,RCMP Provincial,Alexis Creek Prov,35.00,30.00,24.00,8.00,8.00,5.00,22.00,38.00,24.00,18.00
Motor Vehicle Theft,Cariboo,RCMP Provincial,Anahim Lake Prov,6.00,3.00,11.00,2.00,6.00,0.00,3.00,2.00,1.00,0.00
Motor Vehicle Theft,North Okanagan,RCMP Provincial,Armstrong Prov (3),35.00,39.00,31.00,44.00,36.00,27.00,15.00,10.00,12.00,7.00
Motor Vehicle Theft,Thompson Nicola,RCMP Provincial,Ashcroft Prov,23.00,20.00,26.00,26.00,15.00,11.00,10.00,7.00,5.00,10.00
Motor Vehicle Theft,Kitimat Stikine,RCMP Provincial,Atlin Prov,2.00,1.00,2.00,2.00,0.00,1.00,1.00,1.00,0.00,0.00
Motor Vehicle Theft,Thompson Nicola,RCMP Provincial,Barriere Prov,6.00,7.00,8.00,3.00,9.00,8.00,7.00,9.00,12.00,20.00
Motor Vehicle Theft,Central Coast,RCMP Provincial,Bella Bella Prov (4),3.00,2.00,0.00,1.00,0.00,1.00,1.00,5.00,1.00,0.00
Motor Vehicle Theft,Central Coast,RCMP Provincial,Bella Coola Prov,8.00,11.00,6.00,11.00,4.00,3.00,2.00,3.00,1.00,5.00
Motor Vehicle Theft,Fraser Valley,RCMP Provincial,Boston Bar Prov,2.00,4.00,3.00,3.00,5.00,12.00,2.00,7.00,3.00,5.00
Motor Vehicle Theft,Kootenay Boundary,RCMP Provincial,Boundary/Grand Forks Prov (5),38.00,30.00,25.00,47.00,21.00,16.00,17.00,14.00,12.00,20.00
Motor Vehicle Theft,Kootenay Boundary,RCMP Provincial,Boundary/Midway Prov (5),23.00,16.00,17.00,14.00,16.00,8.00,4.00,4.00,7.00,19.00
Motor Vehicle Theft,Metro Vancouver,RCMP Provincial,Bowen Island Prov,2.00,7.00,5.00,4.00,4.00,1.00,2.00,3.00,0.00,5.00
Motor Vehicle Theft,Metro Vancouver,RCMP Municipal,Burnaby Mun,"1,763.00","1,616.00","1,202.00","1,157.00",881.00,650.00,558.00,479.00,873.00,723.00
Motor Vehicle Theft,Bulkley Nechako,RCMP Provincial,Burns Lake Prov,17.00,15.00,13.00,13.00,15.00,12.00,12.00,12.00,5.00,9.00
Motor Vehicle Theft,Strathcona,RCMP Municipal,Campbell River Mun,136.00,169.00,108.00,58.00,62.00,78.00,56.00,28.00,61.00,57.00
Motor Vehicle Theft,Strathcona,RCMP Provincial,Campbell River Prov,33.00,15.00,11.00,6.00,7.00,17.00,3.00,4.00,11.00,7.00
Motor Vehicle Theft,Central Kootenay,RCMP Municipal,Castlegar Mun,24.00,19.00,23.00,24.00,13.00,2.00,12.00,11.00,12.00,11.00
Motor Vehicle Theft,Central Kootenay,RCMP Provincial,Castlegar Prov (5),16.00,8.00,12.00,22.00,7.00,6.00,9.00,9.00,5.00,10.00
Motor Vehicle Theft,Capital,Independent Municipal,Central Saanich Mun,16.00,19.00,16.00,7.00,3.00,11.00,9.00,8.00,5.00,8.00
Motor Vehicle Theft,Thompson Nicola,RCMP Provincial,Chase Prov,37.00,76.00,35.00,30.00,26.00,26.00,25.00,20.00,32.00,35.00
Motor Vehicle Theft,Peace River,RCMP Provincial,Chetwynd Prov,48.00,52.00,42.00,35.00,38.00,29.00,31.00,30.00,16.00,18.00
Motor Vehicle Theft,Fraser Valley,RCMP Municipal,Chilliwack Mun (1),"1,106.00",730.00,694.00,497.00,408.00,362.00,407.00,465.00,362.00,519.00
Motor Vehicle Theft,Fraser Valley,RCMP Provincial,Chilliwack Prov,35.00,47.00,52.00,36.00,29.00,27.00,28.00,21.00,35.00,33.00
Motor Vehicle Theft,Thompson Nicola,RCMP Provincial,Clearwater Prov,17.00,10.00,11.00,13.00,10.00,12.00,8.00,12.00,18.00,16.00
Motor Vehicle Theft,Thompson Nicola,RCMP Provincial,Clinton Prov,8.00,6.00,8.00,2.00,7.00,6.00,9.00,4.00,8.00,5.00
Motor Vehicle Theft,North Okanagan,RCMP Municipal,Coldstream Mun,29.00,32.00,48.00,50.00,24.00,24.00,11.00,21.00,13.00,11.00
Motor Vehicle Theft,East Kootenay,RCMP Provincial,Columbia Valley Prov,29.00,41.00,35.00,38.00,28.00,19.00,34.00,20.00,12.00,11.00
Motor Vehicle Theft,Capital,RCMP Municipal,Colwood Mun,71.00,67.00,47.00,40.00,34.00,22.00,13.00,20.00,7.00,13.00
Motor Vehicle Theft,Comox Valley,RCMP Municipal,Comox Mun,20.00,14.00,27.00,14.00,13.00,5.00,12.00,7.00,4.00,6.00
Motor Vehicle Theft,Comox Valley,RCMP Provincial,Comox Valley Prov,53.00,79.00,71.00,53.00,42.00,40.00,27.00,18.00,43.00,34.00
Motor Vehicle Theft,Metro Vancouver,RCMP Municipal,Coquitlam Mun (1),802.00,702.00,509.00,432.00,338.00,284.00,259.00,237.00,300.00,391.00
Motor Vehicle Theft,Metro Vancouver,RCMP Provincial,Coquitlam Prov,4.00,4.00,6.00,4.00,3.00,3.00,1.00,2.00,1.00,2.00
Motor Vehicle Theft,Comox Valley,RCMP Municipal,Courtenay Mun,109.00,122.00,88.00,54.00,49.00,66.00,34.00,19.00,28.00,47.00
Motor Vehicle Theft,East Kootenay,RCMP Municipal,Cranbrook Mun,71.00,82.00,43.00,35.00,41.00,51.00,45.00,52.00,17.00,28.00
Motor Vehicle Theft,East Kootenay,RCMP Provincial,Cranbrook Prov,30.00,22.00,19.00,19.00,11.00,21.00,12.00,11.00,6.00,10.00
Motor Vehicle Theft,Central Kootenay,RCMP Municipal,Creston Mun (6),,,,,,,8.00,8.00,7.00,9.00
Motor Vehicle Theft,Central Kootenay,RCMP Provincial,Creston Prov (6),36.00,26.00,20.00,26.00,17.00,33.00,14.00,12.00,10.00,13.00
Motor Vehicle Theft,Peace River,RCMP Municipal,Dawson Creek Mun,121.00,103.00,94.00,63.00,59.00,37.00,61.00,44.00,50.00,64.00
Motor Vehicle Theft,Peace River,RCMP Provincial,Dawson Creek Prov,34.00,37.00,29.00,20.00,14.00,19.00,16.00,19.00,32.00,38.00
Motor Vehicle Theft,Kitimat Stikine,RCMP Provincial,Dease Lake Prov,2.00,2.00,2.00,2.00,5.00,2.00,1.00,2.00,2.00,3.00
Motor Vehicle Theft,Metro Vancouver,Independent Municipal,Delta Mun (1),522.00,392.00,348.00,329.00,239.00,246.00,204.00,205.00,294.00,234.00
Motor Vehicle Theft,Cowichan Valley,RCMP Provincial,Duncan Prov,108.00,103.00,121.00,52.00,34.00,25.00,31.00,30.00,32.00,44.00
Motor Vehicle Theft,East Kootenay,RCMP Provincial,Elk Valley Prov (7),46.00,62.00,35.00,35.00,38.00,32.00,42.00,12.00,25.00,19.00
Motor Vehicle Theft,North Okanagan,RCMP Provincial,Enderby Prov,50.00,45.00,42.00,20.00,39.00,14.00,28.00,18.00,21.00,22.00
Motor Vehicle Theft,Columbia Shuswap,RCMP Provincial,Falkland Prov,8.00,19.00,12.00,7.00,8.00,8.00,5.00,11.00,13.00,13.00
Motor Vehicle Theft,Bulkley Nechako,RCMP Provincial,Fort St James Prov,17.00,16.00,24.00,15.00,10.00,13.00,14.00,17.00,14.00,12.00
Motor Vehicle Theft,Peace River,RCMP Municipal,Fort St John Mun,261.00,189.00,247.00,193.00,99.00,101.00,130.00,110.00,100.00,116.00
Motor Vehicle Theft,Peace River,RCMP Provincial,Fort St John Prov,118.00,79.00,111.00,52.00,48.00,30.00,47.00,77.00,73.00,71.00
Motor Vehicle Theft,Bulkley Nechako,RCMP Provincial,Fraser Lake Prov,5.00,8.00,6.00,15.00,7.00,6.00,3.00,4.00,5.00,0.00
Motor Vehicle Theft,Nanaimo,RCMP Provincial,Gabriola Island Prov,2.00,8.00,7.00,6.00,6.00,4.00,1.00,2.00,2.00,3.00
Motor Vehicle Theft,Columbia Shuswap,RCMP Provincial,Golden Prov,30.00,35.00,46.00,24.00,24.00,23.00,15.00,22.00,14.00,31.00
Motor Vehicle Theft,Fraser Valley,RCMP Municipal,Hope Mun,42.00,80.00,41.00,40.00,39.00,26.00,32.00,26.00,38.00,32.00
Motor Vehicle Theft,Fraser Valley,RCMP Provincial,Hope  Prov,22.00,9.00,12.00,8.00,13.00,17.00,4.00,2.00,10.00,15.00
Motor Vehicle Theft,Bulkley Nechako,RCMP Provincial,Houston/Granisle Prov (8),5.00,16.00,5.00,11.00,13.00,10.00,16.00,6.00,3.00,6.00
Motor Vehicle Theft,Peace River,RCMP Provincial,Hudson's Hope Prov,2.00,2.00,1.00,3.00,7.00,5.00,6.00,2.00,2.00,9.00
Motor Vehicle Theft,Thompson Nicola,RCMP Municipal,Kamloops Mun,631.00,823.00,545.00,318.00,314.00,244.00,175.00,274.00,277.00,260.00
Motor Vehicle Theft,Central Kootenay,RCMP Provincial,Kaslo Prov (5),5.00,6.00,0.00,5.00,0.00,4.00,3.00,13.00,6.00,5.00
Motor Vehicle Theft,Central Okanagan,RCMP Municipal,Kelowna Mun,929.00,831.00,"1,075.00",884.00,646.00,602.00,578.00,301.00,417.00,475.00
Motor Vehicle Theft,Central Okanagan,RCMP Provincial,"Kelowna Prov (9,10)",258.00,268.00,259.00,83.00,89.00,80.00,67.00,54.00,57.00,53.00
Motor Vehicle Theft,Fraser Valley,RCMP Municipal,Kent Mun (2),,,,17.00,14.00,18.00,10.00,7.00,10.00,11.00
Motor Vehicle Theft,Okanagan Similkameen,RCMP Provincial,Keremeos Prov,14.00,12.00,12.00,18.00,12.00,22.00,13.00,10.00,19.00,26.00
Motor Vehicle Theft,East Kootenay,RCMP Municipal,Kimberley Mun,11.00,10.00,9.00,4.00,5.00,17.00,8.00,13.00,6.00,16.00
Motor Vehicle Theft,East Kootenay,RCMP Provincial,Kimberley Prov,12.00,3.00,1.00,1.00,3.00,6.00,1.00,6.00,3.00,3.00
Motor Vehicle Theft,Kitimat Stikine,RCMP Municipal,Kitimat Mun,8.00,11.00,29.00,12.00,8.00,4.00,18.00,35.00,27.00,13.00
Motor Vehicle Theft,Kitimat Stikine,RCMP Provincial,Kitimat Prov,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,3.00,0.00
Motor Vehicle Theft,Cowichan Valley,RCMP Municipal,Ladysmith Mun,33.00,36.00,38.00,15.00,15.00,20.00,26.00,12.00,16.00,29.00
Motor Vehicle Theft,Cowichan Valley,RCMP Provincial,Ladysmith Prov,35.00,23.00,20.00,13.00,18.00,19.00,9.00,8.00,15.00,12.00
Motor Vehicle Theft,Central Okanagan,RCMP Municipal,Lake Country Mun,63.00,69.00,76.00,68.00,63.00,50.00,42.00,44.00,29.00,43.00
Motor Vehicle Theft,Cowichan Valley,RCMP Provincial,Lake Cowichan Prov,16.00,30.00,33.00,23.00,16.00,5.00,6.00,10.00,9.00,2.00
Motor Vehicle Theft,Capital,RCMP Municipal,Langford Mun,156.00,154.00,120.00,119.00,91.00,54.00,40.00,36.00,30.00,56.00
Motor Vehicle Theft,Metro Vancouver,RCMP Municipal,Langley City Mun,364.00,236.00,215.00,303.00,293.00,221.00,262.00,192.00,224.00,175.00
Motor Vehicle Theft,Metro Vancouver,RCMP Municipal,Langley Township Mun (1),885.00,896.00,742.00,677.00,797.00,596.00,538.00,441.00,616.00,601.00
Motor Vehicle Theft,Squamish Lillooet,RCMP Provincial,Lillooet Prov,10.00,14.00,12.00,12.00,9.00,13.00,11.00,2.00,9.00,6.00
Motor Vehicle Theft,Kitimat Stikine,RCMP Provincial,Lisims/Nass Valley Prov,3.00,4.00,3.00,3.00,1.00,1.00,1.00,6.00,3.00,3.00
